h_type,date,adress,loc,num_floor,unit_per_floor,price,age,statuse,view,doc_status,north,south,west,east,floor,area,num_sleep,telephone,kitchen,service,floor_covering,open,parking,warehouse,balcony,equipment,Document_type,Propertyـstatus
آپارتمان,1404/02/07,فرجام غربی خ حیدرخانی,4,3,2,"7,200,000,000 تومان",23,تخلیه,سنگ,منگوله دار,0,1,0,0,2,82,2,1,MDF,ايراني فرنگي,سنگ,1,1,1,1,شوفاژ_کولر_گاز,منگوله دار,تخلیه
آپارتمان,1404/01/30,تهرانپارس شهرك شاهد خ شهیدمعینی نژاد,4,4,2,"3,700,000,000 تومان",20,مسکونی,سنگ,شخصي,0,1,0,0,4,49,1,1,هایگلاس,ايرانی,سراميک,1,0,0,0,کولر_گاز,شخصي,مسکونی
آپارتمان,1404/02/08,جشنواره خ نقدی,4,9,6,"6,000,000,000 تومان",2,مسکونی,سنگ,شخصي,0,1,0,0,13,60,1,1,MDF,ايراني فرنگي,سراميک,1,1,1,0,شوفاژ_کولر_آسانسور_مستخدم_پکیج_گاز,شخصي,مسکونی
آپارتمان,1404/02/06,شمس اباد خ منصوری,4,4,4,"6,000,000,000 تومان",21,مسکونی,سنگ,شخصي,1,0,0,0,1,59,2,1,MDF,ايرانی,پارکت,1,1,1,0,شوفاژ_کولر_گاز,شخصي,مسکونی
آپارتمان,1404/02/10,تهران پارس بلوار پروین بین 135 و133,4,5,3,"7,500,000,000 تومان",13,مسکونی,سنگ,شخصي,0,1,0,0,2,84,2,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_آسانسور_گاز,شخصي,مسکونی
آپارتمان,1404/02/06,تهرانپارس بلوار پروین خ 131,4,4,1,"6,400,000,000 تومان",20,مسکونی,آجر سه سانت,شخصي,0,0,1,1,1,81,2,1,MDF,ايرانی,سراميک,1,1,1,1,کولر_پکیج_گاز,شخصي,مسکونی
آپارتمان,1404/02/10,سراج بالاتراز دلاوران,4,5,2,"5,800,000,000 تومان",13,اجاره,سنگ,شخصي,1,0,0,0,5,65,1,1,MDF,ايراني فرنگي,پارکت,1,1,1,0,کولر_آسانسور_پکیج,شخصي,اجاره
آپارتمان,1404/02/09,نیروی دریائی بالاتر از خ جاجرودی,4,5,4,"6,000,000,000 تومان",20,تخلیه,سنگ,شخصي,1,0,0,0,3,61,2,1,MDF,ايرانی,سراميک,1,1,1,0,شوفاژ_کولر_آسانسور_گاز,شخصي,تخلیه
آپارتمان,1404/01/28,هروی خ گلزار,4,4,2,"8,500,000,000 تومان",20,اجاره,سنگ,شخصي,1,0,0,0,4,82,2,1,هایگلاس,ايراني فرنگي,سنگ,1,0,1,0,شوفاژ_کولر,شخصي,اجاره
آپارتمان,1404/02/10,تهرانپارس خیابان فرجام شرقی,4,6,2,"6,000,000,000 تومان",27,تخلیه,سنگ,شخصي,0,1,0,0,5,55,1,1,MDF,ايرانی,سراميک,1,0,1,0,شوفاژ_کولر_آسانسور_گاز,شخصي,تخلیه
آپارتمان,1404/01/30,شریعتی بالاتر از سیدخندان,4,4,2,"5,500,000,000 تومان",25,تخلیه,سنگ,شخصي,1,0,0,0,3,60,1,1,فلزي,ايرانی,موکت,1,0,1,0,شوفاژ_کولر,شخصي,تخلیه
آپارتمان,1404/02/07,هروی حسین آّباد,4,5,2,"10,500,000,000 تومان",18,مسکونی,سنگ,شخصي,1,0,0,0,5,75,1,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_آسانسور_گاز,شخصي,مسکونی
آپارتمان,1404/01/30,تهرانپارس ك 206,4,6,4,"13,125,000,000 تومان",5,مسکونی,سنگ,شخصي,0,1,0,0,4,105,2,1,MDF,ايرانی,سنگ,1,1,1,1,شوفاژ_کولر_آسانسور_گاز,شخصي,مسکونی
آپارتمان,1404/02/09,فرجام نرسیده به خ حیدرخانی,4,4,2,"5,300,000,000 تومان",19,تخلیه,سنگ,شخصي,0,1,0,0,1,61,1,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,کولر_پکیج_گاز,شخصي,تخلیه
آپارتمان,1404/02/09,لویزان بالاتر از امامزاده پنج تن,4,6,4,"12,000,000,000 تومان",7,اجاره,سنگ,شخصي,0,1,0,0,4,95,2,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_آسانسور_پکیج_گاز,شخصي,اجاره
آپارتمان,1404/02/10,تهرانپارس خ مهرنامی خ 124,4,6,1,"36,200,000,000 تومان",7,تخلیه,سنگ,شخصي,1,0,0,0,4,181,3,1,چوبي,ايراني فرنگي,سنگ,1,1,1,1,شوفاژ_کولر_آسانسور_پکیج_گاز,شخصي,تخلیه
آپارتمان,1404/02/06,تهرانپارس بلوار پروین خ جمیلی شبستری,4,5,2,"5,000,000,000 تومان",11,مسکونی,ترکیبی,شخصي,1,0,0,0,4,52,1,1,هایگلاس,ايراني فرنگي,سنگ,0,1,1,0,کولر_آسانسور_پکیج,شخصي,مسکونی
آپارتمان,1404/01/28,سراج نرسیده به ك عینعلی,4,4,4,"3,100,000,000 تومان",20,مسکونی,سنگ,شخصي,0,1,0,0,2,60,1,1,MDF,ايرانی,سراميک,1,0,1,0,شوفاژ_کولر_گاز,شخصي,مسکونی
آپارتمان,1404/02/01,اتوبان بابایی شهرك بهشتی,4,19,20,"9,500,000,000 تومان",2,اجاره,سنگ,تعاوني,0,1,0,0,11,95,2,1,هایگلاس,ايراني فرنگي,سراميک,1,1,1,1,آسانسور_چیلر_گاز,تعاوني,اجاره
آپارتمان,1404/02/07,هنگام شمیران نو,4,5,1,"5,600,000,000 تومان",3,تخلیه,سنگ,قولنامه اي,0,0,1,0,3,110,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,شوفاژ_کولر_آسانسور_پکیج_گاز,قولنامه اي,تخلیه
آپارتمان,1404/01/30,فرجام خ عبادی,4,6,3,"12,600,000,000 تومان",نوساز,تخلیه,ترکیبی,دردست اقدام,0,1,0,0,1,110,2,0,هایگلاس,ايراني فرنگي,سراميک,1,1,1,1,آسانسور,دردست اقدام,تخلیه
آپارتمان,1404/01/31,تهران پارس بین عادل و طاهری,4,5,2,"11,200,000,000 تومان",9,مسکونی,سنگ,شخصي,1,0,0,0,5,87,2,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_آسانسور_گاز,شخصي,مسکونی
